EC Number,Metabolite,Concentration,Km,Abbreviation,[Met]/Km,Organism
6.3.5.2,glutamine,1.72E-2,6.80E-4,gln-L,2.53E+1,Mus musculus
6.3.5.4,ATP,4.67E-3,2.00E-4,atp,2.34E+1,Mus musculus
6.3.5.4,aspartate,1.49E-2,9.00E-4,asp-L,1.66E+1,Mus musculus
6.3.5.4,glutamine,1.72E-2,1.00E-3,gln-L,1.72E+1,Mus musculus
6.4.1.1,ATP,4.67E-3,2.35E-4,atp,1.99E+1,Homo sapiens
6.4.1.1,pyruvate,5.88E-3,1.59E-4,pyr,3.69E+1,Homo sapiens
6.4.1.2,ATP,4.67E-3,1.03E-4,atp,4.52E+1,Homo sapiens
6.4.1.2,acetyl-CoA,2.88E-5,1.17E-5,accoa,2.45E+0,Homo sapiens
6.4.1.3,ATP,4.67E-3,8.00E-5,atp,5.84E+1,Homo sapiens
6.4.1.4,ATP,4.67E-3,4.50E-5,atp,1.04E+2,Homo sapiens
6.5.1.1,ATP,4.67E-3,3.00E-6,atp,1.56E+3,Mus musculus
6.5.1.4,ATP,4.67E-3,3.74E-6,atp,1.25E+3,Homo sapiens
6.5.1.4,GTP,6.77E-4,2.00E-4,gtp,3.39E+0,Homo sapiens
1.1.1.1,NAD+,2.44E-3,1.58E-1,nad,1.55E-2,Saccharomyces cerevisiae
1.1.1.1,NADH,1.07E-4,1.22E-4,nadh,8.81E-1,Saccharomyces cerevisiae
1.1.1.101,NADPH,2.21E-4,1.73E-5,nadph,1.28E+1,Saccharomyces cerevisiae
1.1.1.116,NAD+,2.44E-3,4.10E-3,nad,5.96E-1,Saccharomyces cerevisiae
1.1.1.123,NADPH,2.21E-4,4.60E-5,nadph,4.81E+0,Saccharomyces cerevisiae
1.1.1.168,NADPH,2.21E-4,4.92E-5,nadph,4.50E+0,Saccharomyces cerevisiae
1.1.1.195,NADH,1.07E-4,7.10E-5,nadh,1.51E+0,Saccharomyces cerevisiae
1.1.1.2,NADP+,1.83E-4,2.82E-5,nadp,6.49E+0,Saccharomyces cerevisiae
1.1.1.2,NADPH,2.21E-4,1.79E-5,nadph,1.24E+1,Saccharomyces cerevisiae
1.1.1.265,NADH,1.07E-4,1.70E-3,nadh,6.32E-2,Saccharomyces cerevisiae
1.1.1.265,NADPH,2.21E-4,2.00E-5,nadph,1.11E+1,Saccharomyces cerevisiae
1.1.1.276,serine,3.87E-3,9.50E-2,ser-L,4.07E-2,Saccharomyces cerevisiae
1.1.1.276,NADP+,1.83E-4,5.00E-4,nadp,3.66E-1,Saccharomyces cerevisiae
1.1.1.283,NADH,1.07E-4,2.00E-7,nadh,5.37E+2,Saccharomyces cerevisiae
1.1.1.284,NAD+,2.44E-3,5.53E-5,nad,4.42E+1,Saccharomyces cerevisiae
1.1.1.307,NADH,1.07E-4,3.80E-5,nadh,2.83E+0,Saccharomyces cerevisiae
1.1.1.307,NADPH,2.21E-4,1.51E-4,nadph,1.47E+0,Saccharomyces cerevisiae
1.1.1.37,NAD+,2.44E-3,1.82E-4,nad,1.35E+1,Saccharomyces cerevisiae
1.1.1.37,NADH,1.07E-4,2.02E-5,nadh,5.32E+0,Saccharomyces cerevisiae
1.1.1.37,oxaloacetate,5.01E-7,2.60E-5,oaa,1.93E-2,Saccharomyces cerevisiae
1.1.1.37,malate,9.25E-4,6.26E-5,mal-L,1.48E+1,Saccharomyces cerevisiae
1.1.1.38,NAD+,2.44E-3,5.00E-4,nad,4.89E+0,Saccharomyces cerevisiae
1.1.1.38,malate,9.25E-4,5.00E-2,mal-L,1.85E-2,Saccharomyces cerevisiae
1.1.1.4,NAD+,2.44E-3,5.50E-4,nad,4.44E+0,Saccharomyces cerevisiae
1.1.1.4,NADH,1.07E-4,4.97E-5,nadh,2.16E+0,Saccharomyces cerevisiae
1.1.1.41,isocitrate,5.79E-6,1.10E-4,icit,5.27E-2,Saccharomyces cerevisiae
1.1.1.42,a-ketoglutarate,8.48E-4,6.20E-4,akg,1.37E+0,Saccharomyces cerevisiae
1.1.1.42,isocitrate,5.79E-6,5.65E-5,icit,1.02E-1,Saccharomyces cerevisiae
1.1.1.42,NADP+,1.83E-4,2.05E-5,nadp,8.93E+0,Saccharomyces cerevisiae
1.1.1.42,NADPH,2.21E-4,2.00E-5,nadph,1.11E+1,Saccharomyces cerevisiae
1.1.1.44,6-phospho-D-gluconate,2.43E-4,2.02E-4,6pgc,1.20E+0,Saccharomyces cerevisiae
1.1.1.44,NADP+,1.83E-4,3.08E-5,nadp,5.94E+0,Saccharomyces cerevisiae
1.1.1.65,NADP+,1.83E-4,2.00E-5,nadp,9.14E+0,Saccharomyces cerevisiae
1.1.1.65,NADPH,2.21E-4,2.00E-6,nadph,1.11E+2,Saccharomyces cerevisiae
1.1.1.67,NADH,1.07E-4,1.00E-5,nadh,1.07E+1,Saccharomyces cerevisiae
1.1.1.71,NADP+,1.83E-4,2.02E-5,nadp,9.05E+0,Saccharomyces cerevisiae
1.1.1.71,NADPH,2.21E-4,7.90E-7,nadph,2.80E+2,Saccharomyces cerevisiae
1.1.1.73,NAD+,2.44E-3,2.00E-4,nad,1.22E+1,Saccharomyces cerevisiae
1.1.1.79,NADH,1.07E-4,4.30E-4,nadh,2.50E-1,Saccharomyces cerevisiae
1.1.1.79,NADPH,2.21E-4,4.77E-6,nadph,4.64E+1,Saccharomyces cerevisiae
1.1.1.8,NADH,1.07E-4,2.30E-5,nadh,4.67E+0,Saccharomyces cerevisiae
1.1.1.8,sn-glycerol 3-phosphate,2.81E-4,3.40E-2,glyc3p,8.27E-3,Saccharomyces cerevisiae
1.1.1.8,dihydroxyacetonephosphate,8.23E-4,5.40E-4,dhap,1.52E+0,Saccharomyces cerevisiae
1.1.1.87,NAD+,2.44E-3,7.96E-4,nad,3.07E+0,Saccharomyces cerevisiae
1.1.1.87,NADH,1.07E-4,7.65E-5,nadh,1.41E+0,Saccharomyces cerevisiae
1.1.1.9,NAD+,2.44E-3,1.00E-4,nad,2.44E+1,Saccharomyces cerevisiae
1.1.1.9,NADH,1.07E-4,2.40E-4,nadh,4.48E-1,Saccharomyces cerevisiae
1.1.2.3,pyruvate,9.40E-3,7.40E-3,pyr,1.27E+0,Saccharomyces cerevisiae
1.11.1.9,glutathione,4.30E-3,3.11E-3,gthrd,1.38E+0,Saccharomyces cerevisiae
1.14.13.9,NADPH,2.21E-4,1.65E-5,nadph,1.34E+1,Saccharomyces cerevisiae
1.2.1.11,NADP+,1.83E-4,3.60E-5,nadp,5.08E+0,Saccharomyces cerevisiae
1.2.1.11,NADPH,2.21E-4,8.30E-5,nadph,2.67E+0,Saccharomyces cerevisiae
1.2.1.12,glyceraldehyde-3-phosphate,1.18E-4,6.00E-4,g3p,1.96E-1,Saccharomyces cerevisiae
1.2.1.12,NAD+,2.44E-3,1.00E-4,nad,2.44E+1,Saccharomyces cerevisiae
1.2.1.16,NAD+,2.44E-3,4.50E-4,nad,5.43E+0,Saccharomyces cerevisiae
1.2.1.2,NAD+,2.44E-3,3.42E-5,nad,7.15E+1,Saccharomyces cerevisiae
1.2.1.22,NAD+,2.44E-3,2.90E-3,nad,8.43E-1,Saccharomyces cerevisiae
1.2.1.31,NADPH,2.21E-4,6.20E-4,nadph,3.57E-1,Saccharomyces cerevisiae
1.2.1.4,NADP+,1.83E-4,1.40E-5,nadp,1.31E+1,Saccharomyces cerevisiae
1.2.1.5,NAD+,2.44E-3,4.97E-3,nad,4.91E-1,Saccharomyces cerevisiae
1.2.1.5,NADP+,1.83E-4,4.20E-4,nadp,4.35E-1,Saccharomyces cerevisiae
1.2.4.1,pyruvate,9.40E-3,6.50E-4,pyr,1.45E+1,Saccharomyces cerevisiae
1.2.4.2,a-ketoglutarate,8.48E-4,1.50E-4,akg,5.65E+0,Saccharomyces cerevisiae
1.2.4.4,NAD+,2.44E-3,3.53E-5,nad,6.92E+1,Saccharomyces cerevisiae
1.4.1.14,NADH,1.07E-4,5.03E-6,nadh,2.14E+1,Saccharomyces cerevisiae
1.4.1.14,glutamine,3.55E-2,4.28E-4,gln-L,8.29E+1,Saccharomyces cerevisiae
1.4.1.14,a-ketoglutarate,8.48E-4,6.07E-5,akg,1.40E+1,Saccharomyces cerevisiae
1.4.1.4,a-ketoglutarate,8.48E-4,4.00E-4,akg,2.12E+0,Saccharomyces cerevisiae
1.4.1.4,glutamate,3.91E-2,8.54E-3,glu-L,4.58E+0,Saccharomyces cerevisiae
1.4.1.4,NADP+,1.83E-4,2.61E-5,nadp,7.01E+0,Saccharomyces cerevisiae
1.4.1.4,NADPH,2.21E-4,2.19E-5,nadph,1.01E+1,Saccharomyces cerevisiae
1.5.1.10,NAD+,2.44E-3,5.40E-5,nad,4.53E+1,Saccharomyces cerevisiae
1.5.1.10,NADP+,1.83E-4,2.20E-4,nadp,8.31E-1,Saccharomyces cerevisiae
1.5.1.15,NAD+,2.44E-3,1.60E-3,nad,1.53E+0,Saccharomyces cerevisiae
1.5.1.2,NADH,1.07E-4,4.80E-5,nadh,2.24E+0,Saccharomyces cerevisiae
1.5.1.2,NADPH,2.21E-4,5.60E-5,nadph,3.95E+0,Saccharomyces cerevisiae
1.5.1.20,NADPH,2.21E-4,2.10E-5,nadph,1.05E+1,Saccharomyces cerevisiae
1.5.1.5,NADP+,1.83E-4,2.75E-4,nadp,6.64E-1,Saccharomyces cerevisiae
1.5.1.7,NAD+,2.44E-3,4.33E-4,nad,5.65E+0,Saccharomyces cerevisiae
1.5.1.7,NADH,1.07E-4,9.35E-5,nadh,1.15E+0,Saccharomyces cerevisiae
1.5.1.7,pyruvate,9.40E-3,4.10E-3,pyr,2.29E+0,Saccharomyces cerevisiae
1.5.1.7,a-ketoglutarate,8.48E-4,2.20E-4,akg,3.85E+0,Saccharomyces cerevisiae
1.5.1.7,lysine,5.16E-3,3.63E-3,lys-L,1.42E+0,Saccharomyces cerevisiae
1.6.2.2,NADH,1.07E-4,6.30E-6,nadh,1.71E+1,Saccharomyces cerevisiae
1.6.2.4,NADPH,2.21E-4,3.24E-5,nadph,6.83E+0,Saccharomyces cerevisiae
1.6.5.3,NADH,1.07E-4,1.71E-5,nadh,6.30E+0,Saccharomyces cerevisiae
1.6.5.5,NADPH,2.21E-4,7.00E-5,nadph,3.16E+0,Saccharomyces cerevisiae
1.6.5.9,NADH,1.07E-4,9.40E-6,nadh,1.14E+1,Saccharomyces cerevisiae
1.8.1.2,FAD,3.53E-5,8.15E-5,fad,4.33E-1,Saccharomyces cerevisiae
1.8.1.2,NADPH,2.21E-4,1.56E-5,nadph,1.42E+1,Saccharomyces cerevisiae
1.8.1.4,NAD+,2.44E-3,1.50E-4,nad,1.63E+1,Saccharomyces cerevisiae
1.8.1.7,glutathione disulfide,9.73E-5,8.77E-5,gthox,1.11E+0,Saccharomyces cerevisiae
1.8.1.7,NADPH,2.21E-4,9.15E-6,nadph,2.42E+1,Saccharomyces cerevisiae
2.1.2.1,serine,3.87E-3,1.50E-4,ser-L,2.58E+1,Saccharomyces cerevisiae
2.1.3.3,ornithine,4.49E-3,1.60E-3,orn,2.81E+0,Saccharomyces cerevisiae
2.2.1.1,xylulose-5-phosphate,2.46E-4,2.29E-4,xu5p-D,1.07E+0,Saccharomyces cerevisiae
2.2.1.1,ribose-5-phosphate,1.52E-4,2.75E-4,r5p,5.54E-1,Saccharomyces cerevisiae
2.2.1.1,fructose-6-phosphate,2.37E-3,1.80E-3,f6p,1.32E+0,Saccharomyces cerevisiae
2.2.1.2,sedoheptulose-7-phosphate,3.61E-4,1.80E-4,s7p,2.00E+0,Saccharomyces cerevisiae
2.2.1.2,fructose-6-phosphate,2.37E-3,3.20E-4,f6p,7.40E+0,Saccharomyces cerevisiae
2.2.1.2,erythrose-4-phosphate,1.46E-5,1.80E-5,e4p,8.12E-1,Saccharomyces cerevisiae
2.2.1.6,pyruvate,9.40E-3,3.93E-3,pyr,2.39E+0,Saccharomyces cerevisiae
2.3.1.15,sn-glycerol 3-phosphate,2.81E-4,3.00E-5,glyc3p,9.37E+0,Saccharomyces cerevisiae
2.3.1.31,acetyl-CoA,4.36E-5,3.19E-5,accoa,1.37E+0,Saccharomyces cerevisiae
2.3.1.32,acetyl-CoA,4.36E-5,2.34E-6,accoa,1.86E+1,Saccharomyces cerevisiae
2.3.1.35,ornithine,4.49E-3,1.50E-3,orn,2.99E+0,Saccharomyces cerevisiae
2.3.1.35,glutamate,3.91E-2,7.20E-3,glu-L,5.44E+0,Saccharomyces cerevisiae
2.3.1.35,N-acetyl-ornithine,2.29E-4,1.00E-3,acorn,2.29E-1,Saccharomyces cerevisiae
2.3.1.36,acetyl-CoA,4.36E-5,3.99E-4,accoa,1.09E-1,Saccharomyces cerevisiae
2.3.1.42,dihydroxyacetonephosphate,8.23E-4,7.90E-4,dhap,1.04E+0,Saccharomyces cerevisiae
2.3.1.48,acetyl-CoA,4.36E-5,2.26E-6,accoa,1.93E+1,Saccharomyces cerevisiae
2.3.1.7,acetyl-CoA,4.36E-5,3.67E-5,accoa,1.19E+0,Saccharomyces cerevisiae
2.3.1.84,acetyl-CoA,4.36E-5,4.81E-5,accoa,9.06E-1,Saccharomyces cerevisiae
2.3.1.86,NADPH,2.21E-4,6.70E-5,nadph,3.30E+0,Saccharomyces cerevisiae
2.3.2.2,glutathione,4.30E-3,1.80E-2,gthrd,2.39E-1,Saccharomyces cerevisiae
2.3.3.1,oxaloacetate,5.01E-7,4.24E-6,oaa,1.18E-1,Saccharomyces cerevisiae
2.3.3.1,acetyl-CoA,4.36E-5,1.44E-5,accoa,3.02E+0,Saccharomyces cerevisiae
2.3.3.10,acetyl-CoA,4.36E-5,1.55E-5,accoa,2.81E+0,Saccharomyces cerevisiae
2.3.3.13,pyruvate,9.40E-3,2.00E-4,pyr,4.70E+1,Saccharomyces cerevisiae
2.3.3.13,acetyl-CoA,4.36E-5,9.00E-6,accoa,4.84E+0,Saccharomyces cerevisiae
2.3.3.14,a-ketoglutarate,8.48E-4,7.39E-3,akg,1.15E-1,Saccharomyces cerevisiae
2.3.3.14,acetyl-CoA,4.36E-5,2.40E-5,accoa,1.82E+0,Saccharomyces cerevisiae
2.3.3.9,acetyl-CoA,4.36E-5,8.30E-5,accoa,5.25E-1,Saccharomyces cerevisiae
2.4.1.11,UDP-glucose,2.68E-4,9.80E-4,udpg ,2.73E-1,Saccharomyces cerevisiae
2.4.1.15,UDP-glucose,2.68E-4,1.00E-3,udpg ,2.68E-1,Saccharomyces cerevisiae
2.4.1.15,glucose-6-phosphate,5.31E-3,3.97E-3,g6p,1.34E+0,Saccharomyces cerevisiae
2.4.1.16,UDP-N-acetyl-glucosamine,1.02E-3,8.95E-4,uacgam,1.14E+0,Saccharomyces cerevisiae
2.4.1.34,UDP-glucose,2.68E-4,3.80E-3,udpg ,7.05E-2,Saccharomyces cerevisiae
2.4.2.10,PRPP,4.70E-5,4.59E-5,prpp,1.02E+0,Saccharomyces cerevisiae
2.4.2.18,PRPP,4.70E-5,2.24E-5,prpp,2.10E+0,Saccharomyces cerevisiae
2.4.2.7,PRPP,4.70E-5,2.45E-5,prpp,1.92E+0,Saccharomyces cerevisiae
2.4.2.8,PRPP,4.70E-5,5.00E-5,prpp,9.41E-1,Saccharomyces cerevisiae
2.4.2.9,PRPP,4.70E-5,2.60E-5,prpp,1.81E+0,Saccharomyces cerevisiae
2.5.1.21,NADH,1.07E-4,1.20E-4,nadh,8.96E-1,Saccharomyces cerevisiae
2.5.1.21,NADPH,2.21E-4,4.47E-5,nadph,4.95E+0,Saccharomyces cerevisiae
2.5.1.46,NAD+,2.44E-3,6.73E-4,nad,3.63E+0,Saccharomyces cerevisiae
2.5.1.54,phosphoenolpyruvate,2.91E-5,4.74E-5,pep,6.13E-1,Saccharomyces cerevisiae
2.5.1.54,erythrose-4-phosphate,1.46E-5,2.55E-4,e4p,5.73E-2,Saccharomyces cerevisiae
2.5.1.6,ATP,1.93E-3,4.56E-4,atp,4.23E+0,Saccharomyces cerevisiae
2.5.1.6,methionine,1.91E-4,2.51E-4,met-L,7.61E-1,Saccharomyces cerevisiae
2.6.1.16,glutamine,3.55E-2,7.40E-4,gln-L,4.79E+1,Saccharomyces cerevisiae
2.6.1.16,fructose-6-phosphate,2.37E-3,3.90E-4,f6p,6.07E+0,Saccharomyces cerevisiae
2.6.1.2,pyruvate,9.40E-3,4.00E-4,pyr,2.35E+1,Saccharomyces cerevisiae
2.6.1.2,alanine,2.23E-2,3.60E-3,ala-L,6.20E+0,Saccharomyces cerevisiae
2.6.1.2,a-ketoglutarate,8.48E-4,2.00E-4,akg,4.24E+0,Saccharomyces cerevisiae
2.6.1.2,glutamate,3.91E-2,2.40E-4,glu-L,1.63E+2,Saccharomyces cerevisiae
2.6.1.39,a-ketoglutarate,8.48E-4,3.60E-3,akg,2.35E-1,Saccharomyces cerevisiae
2.6.1.39,glutamate,3.91E-2,2.60E-2,glu-L,1.51E+0,Saccharomyces cerevisiae
2.6.1.39,phenylalanine,2.73E-4,1.00E-3,phe-L,2.73E-1,Saccharomyces cerevisiae
2.6.1.39,tyrosine,2.48E-4,5.00E-4,tyr-L,4.96E-1,Saccharomyces cerevisiae
2.6.1.44,alanine,2.23E-2,2.18E-3,ala-L,1.02E+1,Saccharomyces cerevisiae
2.7.1.1,ATP,1.93E-3,1.00E-4,atp,1.93E+1,Saccharomyces cerevisiae
2.7.1.105,ATP,1.93E-3,4.51E-4,atp,4.29E+0,Saccharomyces cerevisiae
2.7.1.12,ATP,1.93E-3,2.00E-4,atp,9.66E+0,Saccharomyces cerevisiae
2.7.1.12,gluconate,9.51E-5,1.74E-3,glcn,5.47E-2,Saccharomyces cerevisiae
2.7.1.158,ATP,1.93E-3,6.28E-5,atp,3.08E+1,Saccharomyces cerevisiae
2.7.1.17,ADP,4.88E-4,2.80E-4,adp,1.74E+0,Saccharomyces cerevisiae
2.7.1.17,ATP,1.93E-3,1.55E-3,atp,1.25E+0,Saccharomyces cerevisiae
2.7.1.17,xylulose-5-phosphate,2.46E-4,1.30E-3,xu5p-D,1.89E-1,Saccharomyces cerevisiae
2.7.1.2,ATP,1.93E-3,5.00E-5,atp,3.86E+1,Saccharomyces cerevisiae
2.7.1.20,inosine,6.12E-6,8.00E-4,ins,7.65E-3,Saccharomyces cerevisiae
2.7.1.20,ATP,1.93E-3,1.00E-4,atp,1.93E+1,Saccharomyces cerevisiae
2.7.1.23,ATP,1.93E-3,6.25E-4,atp,3.09E+0,Saccharomyces cerevisiae
2.7.1.23,NAD+,2.44E-3,6.80E-4,nad,3.59E+0,Saccharomyces cerevisiae
2.7.1.23,NADH,1.07E-4,2.00E-3,nadh,5.37E-2,Saccharomyces cerevisiae
2.7.1.29,ATP,1.93E-3,2.19E-4,atp,8.82E+0,Saccharomyces cerevisiae
2.7.1.31,ATP,1.93E-3,8.90E-4,atp,2.17E+0,Saccharomyces cerevisiae
2.7.1.32,ATP,1.93E-3,1.04E-4,atp,1.85E+1,Saccharomyces cerevisiae
2.7.1.36,ATP,1.93E-3,7.40E-3,atp,2.61E-1,Saccharomyces cerevisiae
2.7.1.39,ATP,1.93E-3,6.00E-4,atp,3.22E+0,Saccharomyces cerevisiae
2.7.1.40,ADP,4.88E-4,1.60E-4,adp,3.05E+0,Saccharomyces cerevisiae
2.7.1.40,phosphoenolpyruvate,2.91E-5,1.28E-4,pep,2.27E-1,Saccharomyces cerevisiae
2.7.1.50,ATP,1.93E-3,7.90E-4,atp,2.45E+0,Saccharomyces cerevisiae
2.7.1.6,ATP,1.93E-3,1.06E-4,atp,1.83E+1,Saccharomyces cerevisiae
2.7.1.67,ATP,1.93E-3,1.73E-4,atp,1.12E+1,Saccharomyces cerevisiae
2.7.1.86,ATP,1.93E-3,8.75E-4,atp,2.21E+0,Saccharomyces cerevisiae
2.7.1.86,NAD+,2.44E-3,4.50E-3,nad,5.43E-1,Saccharomyces cerevisiae
2.7.1.86,NADH,1.07E-4,1.30E-4,nadh,8.29E-1,Saccharomyces cerevisiae
2.7.1.B4,CTP,2.49E-4,3.00E-4,ctp,8.28E-1,Saccharomyces cerevisiae
2.7.11.1,ATP,1.93E-3,5.00E-6,atp,3.86E+2,Saccharomyces cerevisiae
2.7.11.19,ATP,1.93E-3,1.80E-5,atp,1.07E+2,Saccharomyces cerevisiae
2.7.11.19,UTP,4.94E-4,1.40E-3,utp,3.53E-1,Saccharomyces cerevisiae
2.7.11.19,GTP,2.47E-4,6.00E-4,gtp,4.12E-1,Saccharomyces cerevisiae
2.7.11.23,ATP,1.93E-3,2.70E-5,atp,7.16E+1,Saccharomyces cerevisiae
2.7.13.1,ATP,1.93E-3,1.10E-4,atp,1.76E+1,Saccharomyces cerevisiae
2.7.2.3,ADP,4.88E-4,2.08E-4,adp,2.35E+0,Saccharomyces cerevisiae
2.7.2.3,ATP,1.93E-3,3.72E-4,atp,5.19E+0,Saccharomyces cerevisiae
2.7.2.3,3-phosphoglycerate,5.78E-4,9.93E-4,3pg,5.82E-1,Saccharomyces cerevisiae
2.7.2.4,ATP,1.93E-3,7.69E-4,atp,2.51E+0,Saccharomyces cerevisiae
2.7.2.4,aspartate,6.29E-3,2.35E-3,asp-L,2.68E+0,Saccharomyces cerevisiae
2.7.2.8,ATP,1.93E-3,1.53E-2,atp,1.26E-1,Saccharomyces cerevisiae
2.7.3.8,ADP,4.88E-4,1.15E-4,adp,4.24E+0,Saccharomyces cerevisiae
2.7.4.13,ATP,1.93E-3,3.15E-4,atp,6.13E+0,Saccharomyces cerevisiae
2.7.4.14,UMP,1.45E-5,5.20E-5,ump,2.79E-1,Saccharomyces cerevisiae
2.7.4.14,CMP,5.18E-6,7.10E-5,cmp,7.29E-2,Saccharomyces cerevisiae
2.7.4.6,UDP,3.68E-5,2.80E-4,udp,1.32E-1,Saccharomyces cerevisiae
2.7.4.8,GMP,1.02E-5,6.35E-5,gmp,1.61E-1,Saccharomyces cerevisiae
2.7.4.8,ATP,1.93E-3,5.00E-4,atp,3.86E+0,Saccharomyces cerevisiae
2.7.4.8,GDP,4.21E-5,9.70E-5,gdp,4.34E-1,Saccharomyces cerevisiae
2.7.7.1,ATP,1.93E-3,1.77E-4,atp,1.09E+1,Saccharomyces cerevisiae
2.7.7.1,NAD+,2.44E-3,5.35E-5,nad,4.56E+1,Saccharomyces cerevisiae
2.7.7.12,UDP-glucose,2.68E-4,2.00E-4,udpg ,1.34E+0,Saccharomyces cerevisiae
2.7.7.15,CTP,2.49E-4,1.07E-3,ctp,2.32E-1,Saccharomyces cerevisiae
2.7.7.18,ATP,1.93E-3,7.90E-5,atp,2.45E+1,Saccharomyces cerevisiae
2.7.7.18,NAD+,2.44E-3,7.10E-5,nad,3.44E+1,Saccharomyces cerevisiae
2.7.7.19,ATP,1.93E-3,6.20E-5,atp,3.12E+1,Saccharomyces cerevisiae
2.7.7.19,CTP,2.49E-4,1.04E-4,ctp,2.39E+0,Saccharomyces cerevisiae
2.7.7.19,GTP,2.47E-4,6.20E-5,gtp,3.99E+0,Saccharomyces cerevisiae
2.7.7.23,UDP-N-acetyl-glucosamine,1.02E-3,6.10E-3,uacgam,1.67E-1,Saccharomyces cerevisiae
2.7.7.23,N-acetyl-glucosamine-1/6-phosphate,1.50E-4,1.40E-5,acgam1p,1.07E+1,Saccharomyces cerevisiae
2.7.7.37,UDP-glucose,2.68E-4,1.50E-3,udpg ,1.79E-1,Saccharomyces cerevisiae
2.7.7.41,CTP,2.49E-4,1.00E-3,ctp,2.49E-1,Saccharomyces cerevisiae
2.7.7.53,ADP,4.88E-4,4.66E-4,adp,1.05E+0,Saccharomyces cerevisiae
2.7.7.53,ATP,1.93E-3,5.70E-3,atp,3.39E-1,Saccharomyces cerevisiae
2.7.7.53,GDP,4.21E-5,7.00E-4,gdp,6.02E-2,Saccharomyces cerevisiae
2.7.7.7,dATP,9.78E-6,7.70E-6,datp,1.27E+0,Saccharomyces cerevisiae
2.7.7.7,dCTP,4.46E-6,2.40E-5,dctp,1.86E-1,Saccharomyces cerevisiae
2.7.7.9,UDP-glucose,2.68E-4,3.50E-5,udpg ,7.65E+0,Saccharomyces cerevisiae
2.7.8.11,CMP,5.18E-6,2.20E-5,cmp,2.35E-1,Saccharomyces cerevisiae
2.7.8.15,UDP-N-acetyl-glucosamine,1.02E-3,1.50E-5,uacgam,6.80E+1,Saccharomyces cerevisiae
2.7.8.5,sn-glycerol 3-phosphate,2.81E-4,2.70E-5,glyc3p,1.04E+1,Saccharomyces cerevisiae
2.8.1.3,glutathione,4.30E-3,1.89E-3,gthrd,2.28E+0,Saccharomyces cerevisiae
3.1.2.20,acetyl-CoA,4.36E-5,7.64E-5,accoa,5.70E-1,Saccharomyces cerevisiae
3.1.3.11,"fructose-1,6-bisphosphate",4.00E-3,1.26E-5,fdp,3.17E+2,Saccharomyces cerevisiae
3.1.3.13,"2,3-bisphosphoglycerate",3.61E-5,2.69E-4,23dpg,1.34E-1,Saccharomyces cerevisiae
3.1.3.21,sn-glycerol 3-phosphate,2.81E-4,3.48E-3,glyc3p,8.09E-2,Saccharomyces cerevisiae
3.1.3.5,UMP,1.45E-5,1.20E-3,ump,1.21E-2,Saccharomyces cerevisiae
3.1.3.5,CMP,5.18E-6,2.30E-3,cmp,2.25E-3,Saccharomyces cerevisiae
3.2.1.28,trehalose,8.40E-3,4.03E-3,tre,2.08E+0,Saccharomyces cerevisiae
3.2.2.6,NAD+,2.44E-3,5.20E-4,nad,4.70E+0,Saccharomyces cerevisiae
3.4.21.53,ATP,1.93E-3,4.00E-5,atp,4.83E+1,Saccharomyces cerevisiae
3.5.1.1,asparagine,5.69E-3,5.09E-4,asn-L,1.12E+1,Saccharomyces cerevisiae
3.5.3.1,arginine,2.18E-2,1.57E-2,arg-L,1.39E+0,Saccharomyces cerevisiae
3.6.1.15,dATP,9.78E-6,1.47E-4,datp,6.65E-2,Saccharomyces cerevisiae
3.6.1.15,ATP,1.93E-3,1.97E-6,atp,9.83E+2,Saccharomyces cerevisiae
3.6.1.15,UTP,4.94E-4,2.97E-4,utp,1.66E+0,Saccharomyces cerevisiae
3.6.1.15,dCTP,4.46E-6,1.79E-4,dctp,2.49E-2,Saccharomyces cerevisiae
3.6.1.15,CTP,2.49E-4,2.39E-4,ctp,1.04E+0,Saccharomyces cerevisiae
3.6.1.15,GTP,2.47E-4,1.32E-4,gtp,1.87E+0,Saccharomyces cerevisiae
3.6.1.22,NAD+,2.44E-3,1.82E-3,nad,1.35E+0,Saccharomyces cerevisiae
3.6.1.22,NADH,1.07E-4,5.22E-4,nadh,2.06E-1,Saccharomyces cerevisiae
3.6.1.42,GDP,4.21E-5,1.00E-4,gdp,4.21E-1,Saccharomyces cerevisiae
3.6.3.14,ATP,1.93E-3,2.50E-4,atp,7.73E+0,Saccharomyces cerevisiae
3.6.3.27,ATP,1.93E-3,6.54E-4,atp,2.95E+0,Saccharomyces cerevisiae
3.6.3.43,ATP,1.93E-3,6.00E-4,atp,3.22E+0,Saccharomyces cerevisiae
3.6.3.44,ATP,1.93E-3,9.75E-6,atp,1.98E+2,Saccharomyces cerevisiae
3.6.3.46,ATP,1.93E-3,6.37E-5,atp,3.03E+1,Saccharomyces cerevisiae
3.6.3.46,glutathione,4.30E-3,1.50E-2,gthrd,2.87E-1,Saccharomyces cerevisiae
3.6.3.6,ATP,1.93E-3,4.87E-4,atp,3.97E+0,Saccharomyces cerevisiae
3.6.4.10,ATP,1.93E-3,2.59E-4,atp,7.47E+0,Saccharomyces cerevisiae
3.6.4.12,dATP,9.78E-6,2.50E-4,datp,3.91E-2,Saccharomyces cerevisiae
3.6.4.12,ATP,1.93E-3,2.36E-4,atp,8.18E+0,Saccharomyces cerevisiae
3.6.4.13,ATP,1.93E-3,3.64E-4,atp,5.31E+0,Saccharomyces cerevisiae
